TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,on.II-put,nii-mak̲,niimak̲,nii-mak̲,,,error - initial apostrophes got lost in orthography
ROOT,around.II-around.II-outer.surface,tk'u-tk'u-tk'u-tk'u-daax,tk'utk'utk'utk'udaax,tk'u-tk'u-tk'u-tk'u-daax,,1,
ROOT,in.I-sharply.down-leave,luu-t'ip-daa'whl,luut'ipdaa'whl,luu-t'ip-daa'whl,,,
ROOT,in.I-return,luu-yelt,luuyelt,luu-yelt,,,
ROOT,in.I-again.Ist-hole,luu-tk̲'al-no'o,luutk̲'alno'o,luu-tk̲'al-no'o,,,
ROOT,in.I-two.HUM,luu-bag̲adil,luubag̲adil,luu-bag̲adil,,,
ROOT,in.I-fall,luu-gwen,luugwen,luu-gwen,,,
ROOT,in.I-hole,luu-no'o,luuno'o,luu-no'o,,,
ROOT,in.I-die,luu-'nu'w,luu'nu'w,luu-'nu'w,,,
ROOT,middle.II-day,silkw-sa,silkwsa,silkw-sa,,,
ROOT,tip.I-person,ts'u'win-git,ts'u'wingit,ts'u'win-git,,,
ROOT,out-see.I,xsi-ga'a,xsiga'a,xsi-ga'a,,,
ROOT,one.II-fathom,k'il-k̲'aax,k'ilk̲'aax,k'il-k̲'aax,,,
ROOT,together-one.I,sag̲ayt-k'i'y,sag̲aytk'i'y,sag̲ayt-k'i'y,,,
ROOT,against-go.I,tk̲'al-yee,tk̲'alyee,tk̲'al-yee,,,
ROOT,feast.I-like,li'ligit-ii,li'ligitii,li'ligit-ii,,1,
ROOT,upside.down.I-dock,hasba-gyoo,hasbagyoo,hasba-gyoo,,,
ROOT,out-unable.II,xsi-hlguxws,xsihlguxws,xsi-hlguxws,,,
ROOT,against.background-hit.I,naa-yets,naayets,naa-yets,,,
ROOT,horizontally.off-attain.I,sba-ak̲hlxw,sbaak̲hlxw,sba-ak̲hlxw,,,
ROOT,away.I-put,x̲hlaa-mak̲,x̲hlaamak̲,x̲hlaa-mak̲,,,
ROOT,against-join.I,tk̲'al-huks,tk̲'alhuks,tk̲'al-huks,,,
ROOT,in-fall.I,luu-gwen,luugwen,luu-gwen,,,
ROOT,sharply.down-fall.I,t'ip-gwen,t'ipgwen,t'ip-gwen,,,
ROOT,in-fall,luu-gwen,luugwen,luu-gwen,,,
